importance,include,id,name,type,tier,bodyPart,target,equipment,reason,gifUrl
2,,1512,all fours squad stretch,isolation,beginner,upper legs,quads,body weight,"Specific stretch exercise, too specialized for general fitness app",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1512-qBcKorM.gif
2,,3293,archer pull up,compound,advanced,back,lats,body weight,Advanced bodyweight variation requiring high skill level,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/3293-72BC5Za.gif
2,,3294,archer push up,compound,advanced,chest,pectorals,body weight,Advanced push-up variation requiring significant strength and skill,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/3294-A9qxk2F.gif
2,,2355,arm slingers hanging bent knee legs,compound,advanced,waist,abs,body weight,Complex hanging exercise requiring advanced grip strength,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/2355-uWpxD4v.gif
2,,2333,arm slingers hanging straight legs,compound,advanced,waist,abs,body weight,Very advanced hanging ab exercise for elite trainees only,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/2333-PXTIwgu.gif
2,,0010,assisted hanging knee raise with throw down,isolation,intermediate,waist,abs,assisted,Too specific variation of basic hanging knee raise,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0010-8K0w2yA.gif
2,,0012,assisted lying leg raise with lateral throw down,isolation,intermediate,waist,abs,assisted,Overly complex variation of basic leg raise exercise,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0012-UGhRD1A.gif
2,,0013,assisted lying leg raise with throw down,isolation,intermediate,waist,abs,assisted,Too specific assisted variation for general training purposes,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0013-VX5YKR5.gif
2,,1432,assisted standing pull-up,compound,beginner,back,lats,leverage machine,Duplicate of other assisted pull-up variations,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1432-f4xtKBj.gif
2,,0018,assisted standing triceps extension (with towel),isolation,beginner,upper arms,triceps,assisted,Unconventional tricep exercise with limited effectiveness,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0018-7HcfMBP.gif
2,,3220,astride jumps (male),compound,intermediate,cardio,cardiovascular system,body weight,"Specialized cardio exercise, not essential for strength training",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/3220-f9lVSSI.gif
2,,3672,back and forth step,compound,beginner,cardio,cardiovascular system,body weight,"Basic cardio movement, not essential for strength development",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/3672-fNGumX0.gif
2,,1405,back pec stretch,isolation,beginner,back,lats,body weight,"Basic stretch, not essential for strength training routine",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1405-chfnQnM.gif
2,,1473,backward jump,compound,intermediate,upper legs,quads,body weight,"Specialized plyometric exercise, not essential for beginners",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1473-SaDOwk7.gif
2,,0971,band assisted wheel rollerout,compound,advanced,waist,abs,band,Advanced core exercise requiring specialized equipment,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0971-zhF9lW4.gif
2,,0975,band close-grip push-up,isolation,intermediate,upper arms,triceps,band,"Specific tricep variation with band, limited utility",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0975-ufaxB52.gif
2,,0979,band horizontal pallof press,isolation,intermediate,waist,abs,band,"Advanced core stability exercise, too specific for general users",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0979-9pa4H5m.gif
2,,0981,band jack knife sit-up,isolation,intermediate,waist,abs,band,"Complex ab exercise variation, not essential",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0981-KCBKjma.gif
2,,0983,band kneeling one arm pulldown,compound,intermediate,back,lats,band,"Unilateral pulldown variation, too advanced for target users",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0983-pmnrOp0.gif
2,,0985,band kneeling twisting crunch,isolation,intermediate,waist,abs,band,"Complex twisting crunch variation, not essential",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0985-225x2Vd.gif
2,,0986,band one arm overhead biceps curl,isolation,intermediate,upper arms,biceps,band,"Complex bicep curl variation, unnecessary complication",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0986-UNAB8ak.gif
2,,0987,band one arm single leg split squat,compound,intermediate,upper legs,quads,band,"Advanced single leg squat variation, too challenging",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0987-arsYEd3.gif
2,,0989,band one arm twisting chest press,compound,intermediate,chest,pectorals,band,"Complex twisting chest press, too advanced",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0989-c16nYGA.gif
2,,0990,band one arm twisting seated row,compound,intermediate,back,upper back,band,"Complex twisting row variation, unnecessarily complicated",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0990-DKBwJrL.gif
2,,0992,band push sit-up,isolation,intermediate,waist,abs,band,Complex sit-up variation with band resistance,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0992-zFzbBfL.gif
2,,0994,band reverse wrist curl,isolation,beginner,lower arms,forearms,band,Forearm exercise too specific for general population,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0994-Ezpnw9d.gif
2,,1011,band seated twist,isolation,beginner,waist,abs,band,"Basic core rotation, not essential for beginners",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1011-S1JXDAG.gif
2,,0998,band side triceps extension,isolation,intermediate,upper arms,triceps,band,"Awkward angle tricep variation, less effective than standard options",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0998-obe5LMq.gif
2,,0999,band single leg calf raise,isolation,intermediate,lower legs,calves,band,Single leg calf variation adds unnecessary complexity for beginners,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0999-9JprnPh.gif
2,,1003,band squat row,compound,intermediate,upper legs,glutes,band,"Complex combination movement, better to learn squat and row separately",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1003-w1NOByi.gif
2,,1005,band standing crunch,isolation,beginner,waist,abs,band,"Standing crunch with band is awkward, floor crunches more effective",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1005-Kzg30R7.gif
2,,1007,band standing twisting crunch,isolation,intermediate,waist,abs,band,Twisting crunch variation adds unnecessary complexity,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1007-euq4pwp.gif
2,,1023,band straight back stiff leg deadlift,compound,intermediate,upper legs,glutes,band,Redundant with standard band stiff leg deadlift,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1023-lHeUULr.gif
2,,1012,band twisting overhead press,compound,advanced,shoulders,delts,band,"Complex twisting overhead movement, unnecessary for most trainees",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1012-u4bAmKp.gif
2,,1015,band vertical pallof press,isolation,advanced,waist,abs,band,"Advanced anti-extension core exercise, too complex for target users",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1015-G7PXMlT.gif
2,,1016,band wrist curl,isolation,beginner,lower arms,forearms,band,"Niche forearm exercise, not priority for general fitness",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1016-vUTfFHw.gif
2,,0024,barbell bench front squat,compound,advanced,upper legs,quads,barbell,"Awkward front squat variation, standard front squat more effective",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0024-Y7YcmIJ.gif
2,,0026,barbell bench squat,compound,intermediate,upper legs,quads,barbell,"Awkward bench squat variation, regular squat more practical",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0026-W9pFVv1.gif
2,,1316,barbell bent arm pullover,isolation,intermediate,back,lats,barbell,"Uncommon pullover variation, limited practical use",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1316-cA9FuWG.gif
2,,2407,barbell biceps curl (with arm blaster),isolation,advanced,upper arms,biceps,barbell,Specialized equipment variation of basic barbell curl,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/2407-aee2Fcj.gif
2,,0028,barbell clean and press,compound,advanced,upper legs,quads,barbell,Complex Olympic lift requiring advanced technique,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0028-SGY8Zui.gif
2,,0034,barbell decline bent arm pullover,isolation,intermediate,back,lats,barbell,Uncommon decline pullover variation with limited benefit,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0034-hMEptv0.gif
2,,0035,barbell decline close grip to skull press,isolation,advanced,upper arms,triceps,barbell,"Complex combination exercise, too advanced for target audience",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0035-LMGXZn8.gif
2,,1255,barbell decline pullover,isolation,intermediate,chest,pectorals,barbell,"Uncommon decline pullover, limited practical application",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1255-9sgNE2O.gif
