importance,include,id,name,type,tier,bodyPart,target,equipment,reason,gifUrl
3,Y,0001,3/4 sit-up,isolation,beginner,waist,abs,body weight,Effective ab exercise variation for intermediate core training,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0001-2gPfomN.gif
3,Y,0002,45° side bend,isolation,beginner,waist,abs,body weight,Useful oblique targeting exercise for core development,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0002-Hy9D21L.gif
3,Y,0003,air bike,isolation,intermediate,waist,abs,body weight,Dynamic ab exercise that combines cardio with core strengthening,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0003-1ZFqTDN.gif
3,Y,0006,alternate heel touchers,isolation,beginner,waist,abs,body weight,Good oblique isolation exercise for intermediate trainees,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0006-qaZVsGk.gif
3,Y,3204,arms overhead full sit-up (male),isolation,intermediate,waist,abs,body weight,Challenging sit-up variation for advanced core training,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/3204-NAkmgdx.gif
3,Y,0011,assisted hanging knee raise,isolation,beginner,waist,abs,assisted,Assisted version makes hanging knee raises accessible to beginners,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0011-03lzqwk.gif
3,Y,0014,assisted motion russian twist,isolation,intermediate,waist,abs,medicine ball,Effective assisted russian twist variation for core training,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0014-r7cT9YD.gif
3,Y,1758,assisted sit-up,compound,beginner,waist,abs,assisted,Useful beginner progression for developing core strength,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1758-aumB2IV.gif
3,Y,1431,assisted standing chin-up,compound,beginner,back,lats,leverage machine,Effective assisted variation for building pull-up strength,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1431-7OeHptV.gif
3,Y,0019,assisted triceps dip (kneeling),compound,beginner,upper arms,triceps,leverage machine,Good beginner progression for developing dip strength,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0019-J60bN17.gif
3,Y,2364,assisted wide-grip chest dip (kneeling),compound,beginner,chest,pectorals,leverage machine,Effective chest exercise variation for beginners,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/2364-PnZJIrk.gif
3,Y,1314,back extension on exercise ball,isolation,intermediate,back,spine,stability ball,Effective lower back strengthening exercise with stability challenge,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1314-qLpO4vV.gif
3,Y,0020,balance board,compound,intermediate,upper legs,quads,body weight,Effective functional exercise for balance and stability,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0020-xAySMB0.gif
3,Y,0969,band alternating v-up,compound,intermediate,waist,abs,band,Dynamic core exercise with added resistance challenge,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0969-ztAa1RK.gif
3,Y,0980,band bent-over hip extension,isolation,beginner,upper legs,glutes,band,Effective glute strengthening exercise with resistance band,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0980-wSScovH.gif
3,Y,0972,band bicycle crunch,compound,beginner,waist,abs,band,Enhanced core exercise adding resistance to classic movement,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0972-tZkGYZ9.gif
3,Y,0976,band concentration curl,isolation,beginner,upper arms,biceps,band,"Band version of essential bicep curl, accessible isolation exercise",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0976-kmVVAfu.gif
3,Y,3117,band fixed back close grip pulldown,compound,intermediate,back,lats,band,"Band pulldown variation targeting lats, useful for home workouts",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/3117-4LoWllp.gif
3,Y,3116,band fixed back underhand pulldown,compound,intermediate,back,lats,band,"Underhand pulldown variation with bands, good for bicep engagement",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/3116-ZH68exZ.gif
3,Y,0977,band front lateral raise,isolation,beginner,shoulders,delts,band,Band lateral raise targets side delts effectively,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0977-sTg7iys.gif
3,Y,0978,band front raise,isolation,beginner,shoulders,delts,band,Band front raise for anterior deltoid development,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0978-TFA88iB.gif
3,Y,1408,band hip lift,compound,beginner,upper legs,glutes,band,Band hip thrust variation for glute activation,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1408-E4R8Hz1.gif
3,Y,1002,band lying straight leg raise,isolation,beginner,waist,abs,band,"Leg raise variation for lower abs, useful core exercise",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1002-bbLR7fB.gif
3,Y,0988,band one arm standing low row,compound,intermediate,back,upper back,band,Band row variation for upper back development,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0988-km0sQC0.gif
3,Y,0991,band pull through,compound,intermediate,upper legs,glutes,band,Band pull-through for glute and hamstring activation,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0991-VtTbiP3.gif
3,Y,0993,band reverse fly,isolation,beginner,shoulders,delts,band,Band reverse fly targets rear delts effectively,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0993-sTfvVsG.gif
3,Y,1018,band shrug,isolation,beginner,back,traps,band,Simple trap exercise useful for posture and shoulder health,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1018-trmte8s.gif
3,Y,1001,band single leg split squat,compound,intermediate,upper legs,quads,band,Useful unilateral leg exercise for balance and strength imbalances,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1001-y8bYM8w.gif
3,Y,1022,band standing rear delt row,isolation,intermediate,shoulders,delts,band,Good rear delt exercise for shoulder health and posture,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1022-tc5dYrf.gif
3,Y,1008,band step-up,compound,intermediate,upper legs,glutes,band,"Functional unilateral leg exercise, good for athletic development",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1008-d5bTEPV.gif
3,Y,1010,band straight leg deadlift,compound,intermediate,back,spine,band,Good posterior chain exercise targeting lower back and hamstrings,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1010-KUaoUV8.gif
3,Y,1013,band underhand pulldown,compound,beginner,back,lats,band,Useful lat exercise for home training when pullups unavailable,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1013-k6tUeqS.gif
3,Y,1014,band v-up,isolation,intermediate,waist,abs,band,Challenging core exercise that targets abs effectively,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1014-H6ETwO9.gif
3,Y,1017,band y-raise,isolation,intermediate,shoulders,delts,band,Good rear delt and trap exercise for shoulder health,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1017-aHDy5O5.gif
3,Y,0023,barbell alternate biceps curl,isolation,beginner,upper arms,biceps,barbell,Unilateral bicep variation helps address strength imbalances,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0023-Yza7XrQ.gif
3,Y,0029,barbell clean-grip front squat,compound,intermediate,upper legs,glutes,barbell,Effective front squat variation for intermediate lifters,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0029-qi996YS.gif
3,Y,0033,barbell decline bench press,compound,intermediate,chest,pectorals,barbell,Useful lower chest variation for intermediate lifters,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0033-GrO65fd.gif
3,Y,0039,barbell front chest squat,compound,intermediate,upper legs,glutes,barbell,Front squat variation effective for quad development,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0039-IeTIEqg.gif
3,Y,0041,barbell front raise,isolation,beginner,shoulders,delts,barbell,Effective anterior deltoid exercise for beginners,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0041-b2Uoz54.gif
3,Y,0044,barbell good morning,compound,intermediate,upper legs,hamstrings,barbell,Effective hip hinge movement for hamstring development,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0044-XlZ4lAC.gif
3,Y,1719,barbell incline close grip bench press,compound,intermediate,upper arms,triceps,barbell,Effective tricep-focused pressing movement,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1719-gx7s7uF.gif
3,Y,0049,barbell incline row,compound,intermediate,back,upper back,barbell,Good upper back rowing variation for intermediate lifters,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0049-dmgMp3n.gif
3,Y,0053,barbell jump squat,compound,intermediate,upper legs,glutes,barbell,Effective plyometric exercise for power development,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0053-1gFNTZV.gif
3,Y,1410,barbell lateral lunge,compound,intermediate,upper legs,glutes,barbell,Valuable lateral movement pattern for functional training,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1410-py1HSzx.gif
3,Y,1720,barbell lying back of the head tricep extension,isolation,intermediate,upper arms,triceps,barbell,Good tricep isolation exercise targeting long head,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1720-yg8Totb.gif
3,Y,0055,barbell lying close-grip press,compound,intermediate,upper arms,triceps,barbell,Effective tricep-focused pressing variation,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0055-EcaV7aL.gif
3,Y,0059,barbell lying preacher curl,isolation,intermediate,upper arms,biceps,barbell,Effective bicep isolation with preacher bench support,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0059-SYJ4Bkt.gif
3,Y,3017,barbell pendlay row,compound,intermediate,back,upper back,barbell,Dead-stop row variation useful for strict form and strength building,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/3017-r0z6xzQ.gif
3,Y,0072,barbell prone incline curl,isolation,intermediate,upper arms,biceps,barbell,Prone incline curl provides good bicep isolation with stretch,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0072-WLvTAv5.gif
3,Y,0073,barbell pullover,compound,intermediate,back,lats,barbell,Classic old-school exercise targeting lats and chest expansion,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0073-i6LWjok.gif
3,Y,0075,barbell rear delt raise,isolation,intermediate,shoulders,delts,barbell,Effective rear delt exercise though dumbbells are more common,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0075-Ln9iTbU.gif
3,Y,0076,barbell rear delt row,compound,intermediate,shoulders,delts,barbell,Good rear delt and upper back exercise for posture,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0076-S9zHIvU.gif
3,Y,0080,barbell reverse curl,isolation,intermediate,upper arms,biceps,barbell,Effective bicep and forearm exercise targeting different muscle fibers,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0080-xNrS20v.gif
3,Y,0118,barbell reverse grip bent over row,compound,intermediate,back,upper back,barbell,Reverse grip row targets biceps and upper back differently than standard grip,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0118-SzX3uzM.gif
3,Y,0081,barbell reverse preacher curl,isolation,intermediate,upper arms,biceps,barbell,Reverse preacher curl effectively targets brachialis and forearm extensors,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0081-4LIG9xr.gif
3,Y,0082,barbell reverse wrist curl,isolation,beginner,lower arms,forearms,barbell,Reverse wrist curl is essential for balanced forearm development,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0082-LsZkfU6.gif
3,Y,0084,barbell rollerout,compound,intermediate,waist,abs,barbell,Barbell rollout is an effective advanced core strengthening exercise,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0084-7M66AVi.gif
3,Y,0088,barbell seated calf raise,isolation,beginner,lower legs,calves,barbell,Seated calf raise effectively isolates the soleus muscle,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0088-ktsFQAZ.gif
3,Y,0092,barbell seated overhead triceps extension,isolation,beginner,upper arms,triceps,barbell,Seated overhead tricep extension is a solid mass-building tricep exercise,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0092-5uFK1xr.gif
3,Y,0098,barbell side split squat,compound,intermediate,upper legs,quads,barbell,Side split squat targets different movement plane for quad development,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0098-W31mMjd.gif
3,Y,1756,barbell single leg deadlift,compound,intermediate,upper legs,glutes,barbell,Single leg deadlift improves unilateral strength and balance,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1756-gEyURal.gif
3,Y,0099,barbell single leg split squat,compound,intermediate,upper legs,quads,barbell,Single leg split squat addresses strength imbalances between legs,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0099-gGNQmVt.gif
3,Y,1372,barbell standing calf raise,isolation,beginner,lower legs,calves,barbell,Simple and effective calf exercise accessible to most lifters,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1372-8ozhUIZ.gif
3,Y,0106,barbell standing close grip curl,isolation,intermediate,upper arms,biceps,barbell,Useful bicep variation that targets different grip position,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0106-4dUn2iv.gif
3,Y,0108,barbell standing leg calf raise,isolation,beginner,lower legs,calves,barbell,Effective standing calf raise variation with barbell loading,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0108-rGwhJ5o.gif
3,Y,0109,barbell standing overhead triceps extension,isolation,intermediate,upper arms,triceps,barbell,Good overhead tricep exercise though dumbbells work better,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0109-dZl9Q27.gif
3,Y,0110,barbell standing reverse grip curl,isolation,intermediate,upper arms,biceps,barbell,Reverse grip targets brachialis and forearms effectively,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0110-LWuA3aZ.gif
3,Y,0115,barbell stiff leg good morning,compound,intermediate,upper legs,glutes,barbell,Good posterior chain exercise targeting glutes and hamstrings,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0115-JrOHAZc.gif
3,Y,3305,barbell thruster,compound,advanced,shoulders,delts,barbell,"Full-body explosive movement combining squat and press, useful for intermediate training",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/3305-f7Y9eDZ.gif
3,Y,0120,barbell upright row,isolation,intermediate,shoulders,delts,barbell,"Effective shoulder isolation exercise, commonly used for deltoid development",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0120-UDlhcO8.gif
3,Y,0122,barbell wide bench press,compound,beginner,chest,pectorals,barbell,"Bench press variation targeting outer chest, useful for complete development",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0122-JsKq9so.gif
