importance,include,id,name,type,tier,bodyPart,target,equipment,reason,gifUrl
5,Y,0025,barbell bench press,compound,beginner,chest,pectorals,barbell,"Fundamental chest exercise, essential for all gym-goers",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0025-EIeI8Vf.gif
5,Y,0027,barbell bent over row,compound,beginner,back,upper back,barbell,"Fundamental back exercise, essential for all gym-goers",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0027-eZyBC3j.gif
5,Y,0031,barbell curl,isolation,beginner,upper arms,biceps,barbell,"Essential bicep exercise, fundamental for all levels",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0031-25GPyDY.gif
5,Y,0032,barbell deadlift,compound,beginner,upper legs,glutes,barbell,"Most important compound lift, essential movement pattern",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0032-ila4NZS.gif
5,Y,0043,barbell full squat,compound,beginner,upper legs,glutes,barbell,"Fundamental squat movement, essential for all gym-goers",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0043-qXTaZnJ.gif
5,Y,1436,barbell high bar squat,compound,beginner,upper legs,glutes,barbell,"Essential squat variation, fundamental lower body exercise",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1436-Gnfo4FM.gif
5,Y,0198,cable pulldown,compound,beginner,back,lats,cable,Cable pulldown is essential lat exercise for beginners,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0198-RVwzP10.gif
5,Y,0201,cable pushdown,isolation,beginner,upper arms,triceps,cable,Tricep pushdown is essential upper arm isolation exercise,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0201-3ZflifB.gif
5,Y,0241,cable triceps pushdown (v-bar),isolation,beginner,upper arms,triceps,cable,Essential tricep isolation exercise with v-bar,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0241-gAwDzB3.gif
5,Y,0251,chest dip,compound,intermediate,chest,pectorals,body weight,Essential compound chest exercise for upper body strength development,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0251-9WTm7dq.gif
5,Y,1326,chin-up,compound,intermediate,back,lats,body weight,Fundamental pulling exercise essential for back and bicep development,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1326-T2mxWqc.gif
5,Y,0274,crunch floor,isolation,beginner,waist,abs,body weight,Basic floor crunch is fundamental ab exercise for all fitness levels,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0274-TFqbd8t.gif
5,Y,0285,dumbbell alternate biceps curl,isolation,beginner,upper arms,biceps,dumbbell,"Fundamental bicep exercise, essential for all trainees",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0285-BU15nH4.gif
5,Y,0289,dumbbell bench press,compound,beginner,chest,pectorals,dumbbell,"Essential dumbbell chest exercise, fundamental movement pattern",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0289-SpYC0Kp.gif
5,Y,0293,dumbbell bent over row,compound,beginner,back,upper back,dumbbell,"Essential back exercise, fundamental rowing movement for all levels",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0293-BJ0Hz5L.gif
5,Y,0294,dumbbell biceps curl,isolation,beginner,upper arms,biceps,dumbbell,"Fundamental bicep exercise, essential for all gym-goers",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0294-NbVPDMW.gif
5,Y,0334,dumbbell lateral raise,isolation,beginner,shoulders,delts,dumbbell,Essential shoulder isolation exercise for side deltoids,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0334-DsgkuIt.gif
5,Y,0416,dumbbell standing biceps curl,isolation,beginner,upper arms,biceps,dumbbell,"Standard dumbbell bicep curl, fundamental isolation exercise",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0416-3s4NnTh.gif
5,Y,0426,dumbbell standing overhead press,compound,beginner,shoulders,delts,dumbbell,Essential overhead pressing movement with dumbbells,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0426-A6wtbuL.gif
5,Y,0534,kettlebell goblet squat,compound,beginner,upper legs,glutes,kettlebell,Perfect beginner squat variation teaching proper form and mobility,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0534-ZA8b5hc.gif
5,Y,0574,lever bent over row,compound,intermediate,back,upper back,barbell,"Fundamental back exercise, essential for all lifters",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0574-X3cqyXz.gif
