importance,include,id,name,type,tier,bodyPart,target,equipment,reason,gifUrl
1,,1368,ankle circles,isolation,beginner,lower legs,calves,body weight,"Very basic mobility exercise, too simple for fitness database",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1368-uL9CsKm.gif
1,,3214,arms apart circular toe touch (male),compound,beginner,upper legs,glutes,body weight,Too specific and niche movement pattern for general training,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/3214-RtyAsy1.gif
1,,1708,assisted lying calves stretch,isolation,beginner,lower legs,calves,assisted,"Basic stretch exercise, not strength training focused",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1708-GxDwDX0.gif
1,,1709,assisted lying glutes stretch,isolation,beginner,upper legs,glutes,assisted,"Rehabilitation stretch, not suitable for fitness app",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1709-yn0LjwL.gif
1,,1710,assisted lying gluteus and piriformis stretch,isolation,beginner,upper legs,glutes,assisted,"Specific therapeutic stretch, too specialized for general use",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1710-RQNVT10.gif
1,,0016,assisted prone hamstring,isolation,beginner,upper legs,hamstrings,assisted,"Specific assisted stretch, not strength training exercise",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0016-VedGSby.gif
1,,1713,assisted prone lying quads stretch,isolation,beginner,upper legs,quads,assisted,"Basic assisted stretch, not appropriate for strength training app",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1713-YUYAMEj.gif
1,,1714,assisted prone rectus femoris stretch,isolation,beginner,waist,abs,assisted,"Niche stretch exercise, not essential for general fitness routines",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1714-2Ryn564.gif
1,,1716,assisted seated pectoralis major stretch with stability ball,isolation,beginner,chest,pectorals,assisted,"Specific stretch exercise with specialized equipment, not essential",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1716-RoV1Rfa.gif
1,,1712,assisted side lying adductor stretch,isolation,beginner,upper legs,adductors,assisted,"Specialized stretch targeting minor muscle group, not essential",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1712-hC6oYY5.gif
1,,3297,back lever,compound,advanced,back,upper back,body weight,"Extremely advanced gymnastics move, not suitable for general population",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/3297-GaSzzuh.gif
1,,0984,band lying hip internal rotation,isolation,advanced,upper legs,glutes,band,"Specific hip mobility exercise, very niche",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0984-vIICElP.gif
1,,0996,band seated hip internal rotation,isolation,advanced,upper legs,glutes,band,"Very specific hip mobility exercise, too niche",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0996-9gbyYKk.gif
1,,1000,band single leg reverse calf raise,isolation,advanced,lower legs,calves,band,"Very niche reverse calf movement, rarely performed",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1000-QsSQWbf.gif
