importance,include,id,name,type,tier,bodyPart,target,equipment,reason,gifUrl
4,Y,0007,alternate lateral pulldown,compound,intermediate,back,lats,cable,Effective lat variation that allows unilateral training,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0007-4IKbhHV.gif
4,Y,0009,assisted chest dip (kneeling),compound,beginner,chest,pectorals,leverage machine,Great beginner-friendly chest dip progression exercise,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0009-PAgTVaK.gif
4,Y,0015,assisted parallel close grip pull-up,compound,beginner,back,lats,leverage machine,Essential assisted pull-up variation for building back strength,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0015-vrhHa6D.gif
4,Y,0017,assisted pull-up,compound,beginner,back,lats,leverage machine,Essential progression for beginners working toward pull-ups,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0017-kiJ4Z2K.gif
4,Y,0968,band alternating biceps curl,isolation,beginner,upper arms,biceps,band,Effective bicep exercise using accessible resistance band equipment,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0968-3omWx6P.gif
4,Y,0970,band assisted pull-up,compound,beginner,back,lats,band,Excellent assisted pull-up variation using accessible equipment,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0970-r1XNRYB.gif
4,Y,1254,band bench press,compound,beginner,chest,pectorals,band,Accessible chest exercise using resistance bands,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1254-khlHMqs.gif
4,Y,0974,band close-grip pulldown,compound,beginner,back,lats,band,Effective back exercise using accessible resistance band equipment,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0974-DptumMx.gif
4,Y,0997,band shoulder press,compound,beginner,shoulders,delts,band,"Band shoulder press, essential shoulder exercise variation",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0997-peAeMR3.gif
4,Y,1004,band squat,compound,beginner,upper legs,glutes,band,Accessible squat variation for beginners and home workouts,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1004-TUZLh71.gif
4,Y,1009,band stiff leg deadlift,compound,intermediate,upper legs,glutes,band,"Excellent hamstring and glute exercise, accessible with bands",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1009-kuMiR2T.gif
4,Y,0030,barbell close-grip bench press,compound,intermediate,upper arms,triceps,barbell,Key tricep-focused bench press variation,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0030-J6Dx1Mu.gif
4,Y,0042,barbell front squat,compound,intermediate,upper legs,glutes,barbell,Important squat variation emphasizing quads and core,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0042-zG0zs85.gif
4,Y,1409,barbell glute bridge,isolation,beginner,upper legs,glutes,barbell,Excellent glute isolation exercise for all levels,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1409-qKBpF7I.gif
4,Y,0047,barbell incline bench press,compound,beginner,chest,pectorals,barbell,"Key upper chest exercise, widely used variation",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0047-3TZduzM.gif
4,Y,1435,barbell low bar squat,compound,intermediate,upper legs,glutes,barbell,Important squat variation for powerlifting and strength,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1435-bTpEUcm.gif
4,Y,0054,barbell lunge,compound,beginner,upper legs,glutes,barbell,Essential unilateral leg exercise for all levels,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0054-t8iSghb.gif
4,Y,0056,barbell lying close-grip triceps extension,isolation,beginner,upper arms,triceps,barbell,"Classic tricep isolation exercise, widely used",https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0056-HJ63mSO.gif
4,Y,0057,barbell lying extension,isolation,beginner,upper arms,triceps,barbell,Fundamental tricep extension movement,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0057-EMpUwRI.gif
4,Y,0061,barbell lying triceps extension,isolation,beginner,upper arms,triceps,barbell,Essential tricep isolation exercise,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0061-iZop9xO.gif
4,Y,0060,barbell lying triceps extension skull crusher,isolation,beginner,upper arms,triceps,barbell,Popular tricep exercise with clear movement pattern,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0060-h8LFzo9.gif
4,Y,0070,barbell preacher curl,isolation,intermediate,upper arms,biceps,barbell,Classic bicep isolation exercise widely used in gyms,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0070-qOgPVf6.gif
4,Y,0074,barbell rack pull,compound,intermediate,upper legs,glutes,barbell,Rack pull is excellent for deadlift strength and posterior chain development,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0074-za9Ni4z.gif
4,Y,0078,barbell rear lunge,compound,beginner,upper legs,glutes,barbell,Fundamental unilateral leg exercise for strength and balance,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0078-VaP75jl.gif
4,Y,0085,barbell romanian deadlift,compound,intermediate,upper legs,glutes,barbell,Romanian deadlift is a fundamental hip hinge movement for posterior chain,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0085-wQ2c4XD.gif
